service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1001_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001_20241209_20241229_K20241227,0,0,0,0,1,0,0,20241227,20241227
1001_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001_20241230_20250203_K20241231,0,1,0,0,0,0,0,20241231,20241231
1001_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001 3_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001 3_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001 3_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001 3_20241209_20241229_K20241227,0,0,0,0,1,0,0,20241227,20241227
1001 3_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001 3_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001 3_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001 3_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001 3_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001 3_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001 3_20241230_20250203_K20241231,0,1,0,0,0,0,0,20241231,20241231
1001 3_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001 3_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001 3_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001 3_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001 5_20241206_20241206_IP,0,0,0,0,1,0,0,20241206,20241206
1001 5_20241207_20241207_La,0,0,0,0,0,1,0,20241207,20241207
1001 5_20241208_20241208_Su,0,0,0,0,0,0,1,20241208,20241208
1001 5_20241209_20241229_JA,0,1,0,0,0,0,0,20241224,20241224
1001 5_20241209_20241229_JX,0,0,1,0,0,0,0,20241225,20241225
1001 5_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001 5_20241209_20241229_La,0,0,0,0,0,1,0,20241209,20241229
1001 5_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001 5_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001 5_20241209_20241229_RC,0,0,0,0,1,0,0,20241227,20241227
1001 5_20241209_20241229_Su,0,0,0,0,0,0,1,20241209,20241229
1001 5_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001 5_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001 5_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001 5_20241230_20250203_La,0,0,0,0,0,1,0,20241230,20250203
1001 5_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001 5_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001 5_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001 5_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001 5_20241230_20250203_Su,0,0,0,0,0,0,1,20241230,20250203
1001 5_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001 5_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001 5_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001 5_20241230_20250203_UA,0,1,0,0,0,0,0,20241231,20241231
1001 5_20241230_20250203_UP,0,0,1,0,0,0,0,20250101,20250101
1001 6_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001 6_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001 6_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001 6_20241209_20241229_K20241227,0,0,0,0,1,0,0,20241227,20241227
1001 6_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001 6_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001 6_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001 6_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001 6_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001 6_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001 6_20241230_20250203_K20241231,0,1,0,0,0,0,0,20241231,20241231
1001 6_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001 6_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001 6_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001 6_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001H3_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001H3_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001H3_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001H3_20241209_20241229_K20241227,0,0,0,0,1,0,0,20241227,20241227
1001H3_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001H3_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001H3_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001H3_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001H3_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001H3_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001H3_20241230_20250203_K20241231,0,1,0,0,0,0,0,20241231,20241231
1001H3_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001H3_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001H3_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001H3_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001H4_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
1001H4_20241209_20241229_Ma,1,0,0,0,0,0,0,20241209,20241229
1001H4_20241209_20241229_Pe,0,0,0,0,1,0,0,20241209,20241229
1001H4_20241209_20241229_K20241227,0,0,0,0,1,0,0,20241227,20241227
1001H4_20241209_20241229_Ti,0,1,0,0,0,0,0,20241209,20241229
1001H4_20241209_20241229_To,0,0,0,1,0,0,0,20241209,20241229
1001H4_20241230_20250203_Ke,0,0,1,0,0,0,0,20241230,20250203
1001H4_20241230_20250203_Ma,1,0,0,0,0,0,0,20241230,20250203
1001H4_20241230_20250203_K20241230,1,0,0,0,0,0,0,20241230,20241230
1001H4_20241230_20250203_Pe,0,0,0,0,1,0,0,20241230,20250203
1001H4_20241230_20250203_K20241231,0,1,0,0,0,0,0,20241231,20241231
1001H4_20241230_20250203_K20250103,0,0,0,0,1,0,0,20250103,20250103
1001H4_20241230_20250203_Ti,0,1,0,0,0,0,0,20241230,20250203
1001H4_20241230_20250203_To,0,0,0,1,0,0,0,20241230,20250203
1001H4_20241230_20250203_K20250102,0,0,0,1,0,0,0,20250102,20250102
1001H5_20241206_20241206_IP,0,0,0,0,1,0,0,20241206,20241206
1001H5_20241207_20241207_La,0,0,0,0,0,1,0,20241207,20241207
1001H5_20241208_20241208_Su,0,0,0,0,0,0,1,20241208,20241208
1001H5_20241209_20241229_JA,0,1,0,0,0,0,0,20241224,20241224
1001H5_20241209_20241229_Ke,0,0,1,0,0,0,0,20241209,20241229
