"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,0,20241202,20250226
2,0,0,0,0,0,0,0,20241202,20250226
3,0,0,0,0,0,0,0,20241202,20250226
4,0,0,0,0,1,0,0,20241202,20250226
5,1,1,1,1,0,0,0,20241202,20250226
6,0,0,0,0,0,1,0,20241202,20250226
7,0,0,0,0,0,0,1,20241202,20250226
8,0,0,0,0,0,0,0,20241202,20250226
9,0,0,0,0,0,0,0,20241202,20250226
10,0,0,0,0,0,0,0,20241202,20250226
11,0,0,0,0,0,0,0,20241202,20250226
12,0,0,0,0,0,0,0,20241202,20250226
13,0,0,0,0,0,0,0,20241202,20250226
14,0,0,0,0,0,0,0,20241202,20250226
15,0,0,0,0,0,0,0,20241202,20250226
16,0,0,0,0,0,0,0,20241202,20250226
17,0,0,0,0,0,0,0,20241202,20250226
18,0,0,0,0,0,0,0,20241202,20250226
19,0,0,0,0,0,0,0,20241202,20250226
20,0,0,0,0,0,0,0,20241202,20250226
21,0,0,0,0,0,0,0,20241202,20250226
22,0,0,0,0,0,0,0,20241202,20250226
23,0,0,0,0,0,0,0,20241202,20250226
24,0,0,0,0,0,0,0,20241202,20250226
25,0,0,0,0,0,0,0,20241202,20250226
26,0,0,0,0,0,0,0,20241202,20250226
27,0,0,0,0,0,0,0,20241202,20250226
28,0,0,0,0,0,0,0,20241202,20250226
29,0,0,0,0,0,0,0,20241202,20250226
30,0,0,0,0,0,0,0,20241202,20250226
31,0,0,0,0,0,0,0,20241202,20250226
32,0,0,0,0,0,0,0,20241202,20250226
33,0,0,0,0,0,0,0,20241202,20250226
34,0,0,0,0,0,0,0,20241202,20250226
35,0,0,0,0,0,0,0,20241202,20250226
36,0,0,0,0,0,0,0,20241202,20250226
37,0,0,0,0,0,0,0,20241202,20250226
38,1,1,1,1,1,0,0,20241202,20250226
39,0,0,0,0,0,0,0,20241202,20250226
40,0,0,0,0,0,0,0,20241202,20250226
41,0,0,0,0,0,0,0,20241202,20250226
42,0,0,0,0,0,1,0,20241202,20250226
43,0,0,0,0,0,1,1,20241202,20250226
44,0,0,0,0,0,1,1,20241202,20250226
45,1,1,1,1,1,0,0,20241202,20250226
46,1,1,1,1,1,0,0,20241202,20250226
47,0,0,0,0,0,0,0,20241202,20250226
48,0,0,0,0,0,0,0,20241202,20250226
49,0,0,0,0,0,0,0,20241202,20250226
50,0,0,0,0,0,0,0,20241202,20250226
51,0,0,0,0,0,0,0,20241202,20250226
52,0,0,0,0,0,0,0,20241202,20250226
53,0,0,0,0,0,0,0,20241202,20250226
54,0,0,0,0,0,0,0,20241202,20250226
55,0,0,0,0,0,0,0,20241202,20250226
56,0,0,0,0,0,0,0,20241202,20250226
57,0,0,0,0,0,0,0,20241202,20250226
58,0,0,0,0,0,0,0,20241202,20250226
59,0,0,0,0,0,0,0,20241202,20250226
60,0,0,0,0,0,0,0,20241202,20250226
61,0,0,0,0,0,0,0,20241202,20250226
62,0,0,0,0,0,0,0,20241202,20250226
63,0,0,0,0,0,0,0,20241202,20250226
64,0,0,0,0,0,0,0,20241202,20250226
65,0,0,0,0,0,0,0,20241202,20250226
66,0,0,0,0,0,0,0,20241202,20250226
67,0,0,0,0,0,0,0,20241202,20250226
68,0,0,0,0,0,0,0,20241202,20250226
69,0,0,0,0,0,0,0,20241202,20250226
70,0,0,0,0,0,0,0,20241202,20250226
71,0,0,0,0,0,0,0,20241202,20250226
72,0,0,0,0,0,0,0,20241202,20250226
73,0,0,0,0,0,0,0,20241202,20250226
74,0,0,0,0,0,0,0,20241202,20250226
75,0,0,0,0,0,0,0,20241202,20250226
76,0,0,0,0,0,0,0,20241202,20250226
77,0,0,0,0,0,0,0,20241202,20250226
78,0,0,0,0,0,0,0,20241202,20250226
79,0,0,0,0,0,0,0,20241202,20250226
80,0,0,0,0,0,0,0,20241202,20250226
81,0,0,0,0,0,0,0,20241202,20250226
82,0,0,0,0,0,0,0,20241202,20250226
83,0,0,0,0,0,0,0,20241202,20250226
84,0,0,0,0,0,0,0,20241202,20250226
85,0,0,0,0,0,0,0,20241202,20250226
86,0,0,0,0,0,0,0,20241202,20250226
87,0,0,0,0,0,0,0,20241202,20250226
88,0,0,0,0,0,0,0,20241202,20250226
89,0,0,0,0,0,0,0,20241202,20250226
90,0,0,0,0,0,0,0,20241202,20250226
91,0,0,0,0,0,0,0,20241202,20250226
92,0,0,0,0,0,0,0,20241202,20250226
93,0,0,0,0,0,0,0,20241202,20250226
94,0,0,0,0,0,0,0,20241202,20250226
95,0,0,0,0,0,0,0,20241202,20250226
