service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20200221,20201211
2,0,0,0,0,0,0,0,20200223,20201210
3,0,0,0,0,0,0,0,20200221,20201211
4,0,0,0,0,0,0,0,20200221,20201212
5,0,0,0,0,0,0,0,20200222,20201212
6,0,0,0,0,0,0,0,20200222,20201212
7,0,0,0,0,0,0,0,20200223,20201206
8,0,0,0,0,0,0,0,20201031,20201031
9,0,0,0,0,0,0,0,20200522,20200522
10,0,0,0,0,0,0,0,20200221,20200618
11,0,0,0,0,0,0,0,20200222,20200613
12,0,0,0,0,0,0,0,20200221,20200618
13,0,0,0,0,0,0,0,20200223,20200614
14,0,0,0,0,0,0,0,20200410,20200606
15,0,0,0,0,0,0,0,20200221,20201212
16,0,0,0,0,0,0,0,20200221,20201211
17,0,0,0,0,0,0,0,20200221,20201212
18,0,0,0,0,0,0,0,20200221,20201212
19,0,0,0,0,0,0,0,20200222,20201212
20,0,0,0,0,0,0,0,20200622,20200814
21,0,0,0,0,0,0,0,20200620,20201212
22,0,0,0,0,0,0,0,20200621,20201210
23,0,0,0,0,0,0,0,20200619,20201212
24,0,0,0,0,0,0,0,20200222,20200614
25,0,0,0,0,0,0,0,20200223,20200617
26,0,0,0,0,0,0,0,20200221,20200613
27,0,0,0,0,0,0,0,20200221,20200613
28,0,0,0,0,0,0,0,20200221,20200612
29,0,0,0,0,0,0,0,20200222,20200613
30,0,0,0,0,0,0,0,20200619,20201212
31,0,0,0,0,0,0,0,20200414,20201211
32,0,0,0,0,0,0,0,20200410,20201212
33,0,0,0,0,0,0,0,20200410,20201212
34,0,0,0,0,0,0,0,20200410,20201212
35,0,0,0,0,0,0,0,20200221,20200409
36,0,0,0,0,0,0,0,20200221,20200409
37,0,0,0,0,0,0,0,20200221,20200409
38,0,0,0,0,0,0,0,20200222,20200405
39,0,0,0,0,0,0,0,20200221,20200618
40,0,0,0,0,0,0,0,20200223,20200614
41,0,0,0,0,0,0,0,20200221,20200618
42,0,0,0,0,0,0,0,20200221,20200618
43,0,0,0,0,0,0,0,20200221,20201211
44,0,0,0,0,0,0,0,20200222,20201212
45,0,0,0,0,0,0,0,20200222,20201212
46,0,0,0,0,0,0,0,20200222,20201212
47,0,0,0,0,0,0,0,20200410,20201031
48,0,0,0,0,0,0,0,20200221,20201211
49,0,0,0,0,0,0,0,20200222,20201212
50,0,0,0,0,0,0,0,20200224,20201207
51,0,0,0,0,0,0,0,20200222,20201212
52,0,0,0,0,0,0,0,20200222,20201212
53,0,0,0,0,0,0,0,20200221,20201212
54,0,0,0,0,0,0,0,20200223,20201206
55,0,0,0,0,0,0,0,20200221,20201212
56,0,0,0,0,0,0,0,20200221,20201212
57,0,0,0,0,0,0,0,20200221,20201212
58,0,0,0,0,0,0,0,20200223,20201206
59,0,0,0,0,0,0,0,20200222,20201212
60,0,0,0,0,0,0,0,20200222,20201212
61,0,0,0,0,0,0,0,20200221,20201212
62,0,0,0,0,0,0,0,20200224,20201210
63,0,0,0,0,0,0,0,20200221,20201211
64,0,0,0,0,0,0,0,20200222,20201212
65,0,0,0,0,0,0,0,20200222,20201212
66,0,0,0,0,0,0,0,20200224,20201210
67,0,0,0,0,0,0,0,20200221,20201211
68,0,0,0,0,0,0,0,20200221,20201211
69,0,0,0,0,0,0,0,20200222,20201212
70,0,0,0,0,0,0,0,20200223,20201210
71,0,0,0,0,0,0,0,20200224,20201211
72,0,0,0,0,0,0,0,20200410,20201212
73,0,0,0,0,0,0,0,20200410,20201212
74,0,0,0,0,0,0,0,20200821,20201211
75,0,0,0,0,0,0,0,20200221,20201211
76,0,0,0,0,0,0,0,20200222,20201212
77,0,0,0,0,0,0,0,20200222,20201212
78,0,0,0,0,0,0,0,20200623,20200814
79,0,0,0,0,0,0,0,20200622,20200810
80,0,0,0,0,0,0,0,20200621,20200816
81,0,0,0,0,0,0,0,20200521,20200816
82,0,0,0,0,0,0,0,20200619,20200815
83,0,0,0,0,0,0,0,20200410,20200816
84,0,0,0,0,0,0,0,20200221,20200813
85,0,0,0,0,0,0,0,20200626,20200814
86,0,0,0,0,0,0,0,20200221,20200814
87,0,0,0,0,0,0,0,20200403,20200618
88,0,0,0,0,0,0,0,20200521,20200521
89,0,0,0,0,0,0,0,20200222,20200521
90,0,0,0,0,0,0,0,20200413,20200413
91,0,0,0,0,0,0,0,20200410,20200410
92,0,0,0,0,0,0,0,20200410,20200413
93,0,0,0,0,0,0,0,20200404,20200404
94,0,0,0,0,0,0,0,20200222,20200418
95,0,0,0,0,0,0,0,20200411,20200412
96,0,0,0,0,0,0,0,20200411,20200411
97,0,0,0,0,0,0,0,20200412,20200412
98,0,0,0,0,0,0,0,20200222,20200614
99,0,0,0,0,0,0,0,20200221,20200619
100,0,0,0,0,0,0,0,20200221,20201211
101,0,0,0,0,0,0,0,20200224,20201207
102,0,0,0,0,0,0,0,20200222,20201212
103,0,0,0,0,0,0,0,20200223,20201206
104,0,0,0,0,0,0,0,20200222,20201212
105,0,0,0,0,0,0,0,20200222,20201212
106,0,0,0,0,0,0,0,20200222,20201212
107,0,0,0,0,0,0,0,20200222,20201212
108,0,0,0,0,0,0,0,20200221,20201211
109,0,0,0,0,0,0,0,20200222,20201212
110,0,0,0,0,0,0,0,20200221,20201211
111,0,0,0,0,0,0,0,20200224,20201210
112,0,0,0,0,0,0,0,20200222,20201212
113,0,0,0,0,0,0,0,20200223,20201210
114,0,0,0,0,0,0,0,20200222,20201212
115,0,0,0,0,0,0,0,20200221,20201211
116,0,0,0,0,0,0,0,20200222,20201212
117,0,0,0,0,0,0,0,20200222,20201212
118,0,0,0,0,0,0,0,20200623,20200813
119,0,0,0,0,0,0,0,20200622,20200814
120,0,0,0,0,0,0,0,20200413,20200815
121,0,0,0,0,0,0,0,20200619,20200816
122,0,0,0,0,0,0,0,20200413,20200814
123,0,0,0,0,0,0,0,20200413,20200521
124,0,0,0,0,0,0,0,20200410,20200412
125,0,0,0,0,0,0,0,20200330,20200416
126,0,0,0,0,0,0,0,20200221,20201212
127,0,0,0,0,0,0,0,20200306,20201211
128,0,0,0,0,0,0,0,20200306,20201211
129,0,0,0,0,0,0,0,20200221,20200305
130,0,0,0,0,0,0,0,20200221,20200618
131,0,0,0,0,0,0,0,20200222,20200404
132,0,0,0,0,0,0,0,20200222,20201212
133,0,0,0,0,0,0,0,20200223,20201206
134,0,0,0,0,0,0,0,20200221,20201211
135,0,0,0,0,0,0,0,20200221,20201211
136,0,0,0,0,0,0,0,20200222,20201212
137,0,0,0,0,0,0,0,20200619,20200815
138,0,0,0,0,0,0,0,20200222,20201212
139,0,0,0,0,0,0,0,20200221,20200619
140,0,0,0,0,0,0,0,20200223,20201212
141,0,0,0,0,0,0,0,20200222,20200404
142,0,0,0,0,0,0,0,20200222,20201212
143,0,0,0,0,0,0,0,20200224,20201207
144,0,0,0,0,0,0,0,20200222,20201212
145,0,0,0,0,0,0,0,20200410,20200413
146,0,0,0,0,0,0,0,20200221,20200404
147,0,0,0,0,0,0,0,20200223,20200405
148,0,0,0,0,0,0,0,20200410,20200613
149,0,0,0,0,0,0,0,20200406,20200617
150,0,0,0,0,0,0,0,20200221,20201212
151,0,0,0,0,0,0,0,20200409,20201211
152,0,0,0,0,0,0,0,20200409,20201211
153,0,0,0,0,0,0,0,20200221,20200408
154,0,0,0,0,0,0,0,20200224,20200402
155,0,0,0,0,0,0,0,20200223,20200405
156,0,0,0,0,0,0,0,20200223,20200405
157,0,0,0,0,0,0,0,20200224,20200227
158,0,0,0,0,0,0,0,20200221,20201212
159,0,0,0,0,0,0,0,20200302,20201209
160,0,0,0,0,0,0,0,20200221,20201211
161,0,0,0,0,0,0,0,20200221,20201211
162,0,0,0,0,0,0,0,20200225,20201210
163,0,0,0,0,0,0,0,20200222,20201212
164,0,0,0,0,0,0,0,20200222,20201212
165,0,0,0,0,0,0,0,20200221,20201211
166,0,0,0,0,0,0,0,20200402,20201211
167,0,0,0,0,0,0,0,20200222,20201212
168,0,0,0,0,0,0,0,20200223,20201206
169,0,0,0,0,0,0,0,20200221,20201211
170,0,0,0,0,0,0,0,20200221,20201211
171,0,0,0,0,0,0,0,20200222,20201212
172,0,0,0,0,0,0,0,20200223,20201206
173,0,0,0,0,0,0,0,20200222,20201212
174,0,0,0,0,0,0,0,20200223,20201206
175,0,0,0,0,0,0,0,20200221,20201211
176,0,0,0,0,0,0,0,20200221,20201211
177,0,0,0,0,0,0,0,20200222,20201212
178,0,0,0,0,0,0,0,20200223,20201206
179,0,0,0,0,0,0,0,20200223,20201206
180,0,0,0,0,0,0,0,20200222,20201212
181,0,0,0,0,0,0,0,20200223,20201206
182,0,0,0,0,0,0,0,20200222,20201212
183,0,0,0,0,0,0,0,20200223,20201206
184,0,0,0,0,0,0,0,20200222,20201212
185,0,0,0,0,0,0,0,20200222,20201212
186,0,0,0,0,0,0,0,20200222,20201212
187,0,0,0,0,0,0,0,20200222,20201212
188,0,0,0,0,0,0,0,20200221,20201212
189,0,0,0,0,0,0,0,20200221,20201212
190,0,0,0,0,0,0,0,20200223,20201206
191,0,0,0,0,0,0,0,20200221,20201212
192,0,0,0,0,0,0,0,20200223,20201210
